LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Count,Volume(mm^3)
453,RSS,Right Somatosensory areas,315,/997/8/567/688/695/315/453/,Right Cerebral cortex,3320,9.295
1017,RAN,Right Ansiform lobule,1073,/997/8/512/528/1073/1017/,Right Cerebellum,3064,3.342
672,RCP,Right Caudoputamen,485,/997/8/567/623/477/485/672/,Right Cerebral nuclei,2703,9.582
500,RMO,Right Somatomotor areas,315,/997/8/567/688/695/315/500/,Right Cerebral cortex,2697,10.43
354,RMY,Right Medulla,1065,/997/8/343/1065/354/,Right Medulla,2074,2.978
153,RV4r,Right lateral recess,145,/997/73/145/153/,Right ventricular systems,1734,0.257
1080,RHIP,Right Hippocampal region,1089,/997/8/567/688/695/1089/1080/,Right Cerebral cortex,1725,6.393
728,Rarb,Right arbor vitae,960,/997/1009/960/728/,Right fiber tracts,1659,1.963
1025,RPRM,Right Paramedian lobule,1073,/997/8/512/528/1073/1025/,Right Cerebellum,1213,1.467
928,RCUL,Right Culmen,645,/997/8/512/528/645/928/,Right Cerebellum,1200,1.99
771,RP,Right Pons,1065,/997/8/343/1065/771/,Right Pons,1109,1.819
776,Rcc,Right corpus callosum,983,/997/1009/983/776/,Right fiber tracts,1106,3.534
1041,RPFL,Right Paraflocculus,1073,/997/8/512/528/1073/1041/,Right Cerebellum,1068,1.495
1009,Rfiber tracts,Right fiber tracts,997,/997/1009/,Right fiber tracts,1055,1.03
961,RPIR,Right Piriform area,698,/997/8/567/688/695/698/961/,Right Cerebral cortex,951,3.791
507,RMOB,Right Main olfactory bulb,698,/997/8/567/688/695/698/507/,Right Cerebral cortex,944,5.354
62,Rmlf,Right medial longitudinal fascicle,832,/997/1009/967/832/62/,Right fiber tracts,843,0.404
822,RRHP,Right Retrohippocampal region,1089,/997/8/567/688/695/1089/822/,Right Cerebral cortex,830,5.419
95,RAI,Right Agranular insular area,315,/997/8/567/688/695/315/95/,Right Cerebral cortex,796,2.262
31,RACA,Right Anterior cingulate area,315,/997/8/567/688/695/315/31/,Right Cerebral cortex,783,1.723
1007,RSIM,Right Simple lobule,1073,/997/8/512/528/1073/1007/,Right Cerebellum,773,1.693
313,RMB,Right Midbrain,343,/997/8/343/313/,Right Midbrain,723,1.692
1097,RHY,Right Hypothalamus,1129,/997/8/343/1129/1097/,Right Hypothalamus,716,1.057
1033,RCOPY,Right Copula pyramidis,1073,/997/8/512/528/1073/1033/,Right Cerebellum,712,0.756
795,RPAG,Right Periaqueductal gray,323,/997/8/343/313/323/795/,Right Midbrain,702,1.505
936,RDEC,Right Declive (VI),645,/997/8/512/528/645/936/,Right Cerebellum,578,0.972
968,RNOD,Right Nodulus (X),645,/997/8/512/528/645/968/,Right Cerebellum,577,0.49
1093,RPRNc,Right Pontine reticular nucleus caudal part,987,/997/8/343/1065/771/987/1093/,Right Pons,537,0.957
938,RPGRN,Right Paragigantocellular reticular nucleus,370,/997/8/343/1065/354/370/938/,Right Medulla,529,0.292
1057,RGU,Right Gustatory areas,315,/997/8/567/688/695/315/1057/,Right Cerebral cortex,510,1.208
920,RCENT,Right Central lobule,645,/997/8/512/528/645/920/,Right Cerebellum,493,1.236
146,RPRNr,Right Pontine reticular nucleus,1117,/997/8/343/1065/771/1117/146/,Right Pons,449,0.692
159,RAON,Right Anterior olfactory nucleus,698,/997/8/567/688/695/698/159/,Right Cerebral cortex,440,1.32
679,RCS,Right Superior central nucleus raphe,1117,/997/8/343/1065/771/1117/679/,Right Pons,404,0.265
677,RVISC,Right Visceral area,315,/997/8/567/688/695/315/677/,Right Cerebral cortex,401,0.78
898,RPCG,Right Pontine central gray,987,/997/8/343/1065/771/987/898/,Right Pons,375,0.237
794,RsptV,Right spinal tract of the trigeminal nerve,229,/997/1009/967/901/229/794/,Right fiber tracts,374,0.47
669,RVIS,Right Visual areas,315,/997/8/567/688/695/315/669/,Right Cerebral cortex,364,2.97
1016,Ronl,Right olfactory nerve layer of main olfactory bulb,840,/997/1009/967/840/1016/,Right fiber tracts,360,1.346
307,RMARN,Right Magnocellular reticular nucleus,370,/997/8/343/1065/354/370/307/,Right Medulla,347,0.23
4,RIC,Right Inferior colliculus,339,/997/8/343/313/339/4/,Right Midbrain,345,1.821
6,Rint,Right internal capsule,784,/997/1009/983/784/6/,Right fiber tracts,338,0.87
477,RSTR,Right Striatum,623,/997/8/567/623/477/,Right Cerebral nuclei,333,0.764
957,RUVU,Right Uvula (IX),645,/997/8/512/528/645/957/,Right Cerebellum,318,0.83
100,RIPN,Right Interpeduncular nucleus,165,/997/8/343/313/348/165/100/,Right Midbrain,277,0.135
242,RLS,Right Lateral septal nucleus,275,/997/8/567/623/477/275/242/,Right Cerebral nuclei,271,0.867
395,RMDRN,Right Medullary reticular nucleus,370,/997/8/343/1065/354/370/395/,Right Medulla,267,0.381
56,RACB,Right Nucleus accumbens,493,/997/8/567/623/477/493/56/,Right Cerebral nuclei,258,1.459
661,RVII,Right Facial motor nucleus,370,/997/8/343/1065/354/370/661/,Right Medulla,237,0.29
607,RCN,Right Cochlear nuclei,386,/997/8/343/1065/354/386/607/,Right Medulla,233,0.365
872,RDR,Right Dorsal nucleus raphe,165,/997/8/343/313/348/165/872/,Right Midbrain,232,0.059
754,ROT,Right Olfactory tubercle,493,/997/8/567/623/477/493/754/,Right Cerebral nuclei,232,1.175
331,RMBO,Right Mammillary body,467,/997/8/343/1129/1097/467/331/,Right Hypothalamus,231,0.263
1049,RFL,Right Flocculus,1073,/997/8/512/528/1073/1049/,Right Cerebellum,188,0.39
235,RLRN,Right Lateral reticular nucleus,370,/997/8/343/1065/354/370/235/,Right Medulla,187,0.16
698,ROLF,Right Olfactory areas,695,/997/8/567/688/695/698/,Right Cerebral cortex,184,1.143
44,RILA,Right Infralimbic area,315,/997/8/567/688/695/315/44/,Right Cerebral cortex,182,0.607
701,RVNC,Right Vestibular nuclei,370,/997/8/343/1065/354/370/701/,Right Medulla,180,0.787
951,RPYR,Right Pyramus (VIII),645,/997/8/512/528/645/951/,Right Cerebellum,180,0.251
429,RSPVC,Right Spinal nucleus of the trigeminal caudal part,386,/997/8/343/1065/354/386/429/,Right Medulla,177,0.45
842,RSCsg,Right Superior colliculus superficial gray layer,302,/997/8/343/313/339/302/842/,Right Midbrain,176,0.496
852,RPARN,Right Parvicellular reticular nucleus,370,/997/8/343/1065/354/370/852/,Right Medulla,174,0.66
972,RPL,Right Prelimbic area,315,/997/8/567/688/695/315/972/,Right Cerebral cortex,173,0.626
944,RFOTU,Right Folium-tuber vermis (VII),645,/997/8/512/528/645/944/,Right Cerebellum,148,0.214
206,RRM,Right Nucleus raphe magnus,379,/997/8/343/1065/354/379/206/,Right Medulla,139,0.062
136,RIRN,Right Intermediate reticular nucleus,370,/997/8/343/1065/354/370/136/,Right Medulla,137,0.919
194,RLHA,Right Lateral hypothalamic area,290,/997/8/343/1129/1097/290/194/,Right Hypothalamus,137,0.951
603,Rfi,Right fimbria,1099,/997/1009/991/768/1099/603/,Right fiber tracts,136,0.466
437,RSPVI,Right Spinal nucleus of the trigeminal interpolar part,386,/997/8/343/1065/354/386/437/,Right Medulla,136,0.388
958,REPI,Right Epithalamus,856,/997/8/343/1129/549/856/958/,Right Thalamus,135,0.212
254,RRSP,Right Retrosplenial area,315,/997/8/567/688/695/315/254/,Right Cerebral cortex,122,2.379
952,REPd,Right Endopiriform nucleus dorsal part,942,/997/8/567/688/703/942/952/,Right Cerebral cortex,121,0.591
922,RPERI,Right Perirhinal area,315,/997/8/567/688/695/315/922/,Right Cerebral cortex,120,0.829
398,RSOC,Right Superior olivary complex,1132,/997/8/343/1065/771/1132/398/,Right Pons,119,0.144
151,RAOB,Right Accessory olfactory bulb,698,/997/8/567/688/695/698/151/,Right Cerebral cortex,110,0.198
83,RIO,Right Inferior olivary complex,370,/997/8/343/1065/354/370/83/,Right Medulla,102,0.198
128,RMRN,Right Midbrain reticular nucleus,323,/997/8/343/313/323/128/,Right Midbrain,101,1.547
1089,RHPF,Right Hippocampal formation,695,/997/8/567/688/695/1089/,Right Cerebral cortex,101,0.725
895,RECT,Right Ectorhinal area,315,/997/8/567/688/695/315/895/,Right Cerebral cortex,99,0.744
10,RSCig,Right Superior colliculus motor related intermediate gray layer,294,/997/8/343/313/323/294/10/,Right Midbrain,99,0.812
125,Ropt,Right optic tract,848,/997/1009/967/848/125/,Right fiber tracts,97,0.208
247,RAUD,Right Auditory areas,315,/997/8/567/688/695/315/247/,Right Cerebral cortex,97,2.652
583,RCLA,Right Claustrum,703,/997/8/567/688/703/583/,Right Cerebral cortex,91,0.177
714,RORB,Right Orbital area,315,/997/8/567/688/695/315/714/,Right Cerebral cortex,91,1.431
830,RDMH,Right Dorsomedial nucleus of the hypothalamus,141,/997/8/343/1129/1097/141/830/,Right Hypothalamus,88,0.178
651,RNTS,Right Nucleus of the solitary tract,386,/997/8/343/1065/354/386/651/,Right Medulla,87,0.206
614,RTU,Right Tuberal nucleus,290,/997/8/343/1129/1097/290/614/,Right Hypothalamus,87,0.131
900,Raco,Right anterior commissure olfactory limb,840,/997/1009/967/840/900/,Right fiber tracts,84,0.306
665,Rlot,Right lateral olfactory tract body,21,/997/1009/967/840/21/665/,Right fiber tracts,84,0.401
126,RPVp,Right Periventricular hypothalamic nucleus posterior part,141,/997/8/343/1129/1097/141/126/,Right Hypothalamus,81,0.054
549,RTH,Right Thalamus,1129,/997/8/343/1129/549/,Right Thalamus,81,1.518
924,Rcpd,Right cerebal peduncle,784,/997/1009/983/784/924/,Right fiber tracts,78,0.244
1004,RPMv,Right Ventral premammillary nucleus,467,/997/8/343/1129/1097/467/1004/,Right Hypothalamus,77,0.023
1123,Ricp,Right inferior cerebellar peduncle,752,/997/1009/960/752/1123/,Right fiber tracts,75,0.207
1048,RGRN,Right Gigantocellular reticular nucleus,370,/997/8/343/1065/354/370/1048/,Right Medulla,72,0.656
162,RLDT,Right Laterodorsal tegmental nucleus,1117,/997/8/343/1065/771/1117/162/,Right Pons,67,0.039
342,RSI,Right Substantia innominata,835,/997/8/567/623/803/835/342/,Right Cerebral nuclei,64,0.999
280,RB,Right Barrington's nucleus,987,/997/8/343/1065/771/987/280/,Right Pons,63,0.01
867,RPB,Right Parabrachial nucleus,1132,/997/8/343/1065/771/1132/867/,Right Pons,61,0.277
541,RTEa,Right Temporal association areas,315,/997/8/567/688/695/315/541/,Right Cerebral cortex,61,1.027
571,RMTN,Right Midline group of the dorsal thalamus,856,/997/8/343/1129/549/856/571/,Right Thalamus,60,0.391
135,RAMB,Right Nucleus ambiguus,370,/997/8/343/1065/354/370/135/,Right Medulla,56,0.013
