LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Mean,Min,Max,Count,Volume(mm^3)
147,RLC,Right Locus ceruleus,1117.0,/997/8/343/1065/771/1117/147/,Right Pons,279.78295,210.62459,281.0,892.0,0.006
280,RB,Right Barrington's nucleus,987.0,/997/8/343/1065/771/987/280/,Right Pons,278.0256,149.70374,281.0,1690.0,0.011
705,RmtV,Right midbrain tract of the trigeminal nerve,229.0,/997/1009/967/901/229/705/,Right fiber tracts,259.69477,173.6553,281.0,519.0,0.003
460,RMEV,Right Midbrain trigeminal nucleus,339.0,/997/8/343/313/339/460/,Right Midbrain,252.11324,164.32509,281.0,1247.0,0.008
350,RSLC,Right Subceruleus nucleus,1117.0,/997/8/343/1065/771/1117/350/,Right Pons,245.18834,138.11815,281.0,1409.0,0.009
358,RSLD,Right Sublaterodorsal nucleus,1117.0,/997/8/343/1065/771/1117/358/,Right Pons,244.45647,143.22919,281.0,3854.0,0.025
911,RIVn,Right trochlear nerve,967.0,/997/1009/967/911/,Right fiber tracts,237.71413,168.55713,281.0,186.0,0.001
162,RLDT,Right Laterodorsal tegmental nucleus,1117.0,/997/8/343/1065/771/1117/162/,Right Pons,237.20735,122.58778,281.0,6679.0,0.043
867,RPB,Right Parabrachial nucleus,1132.0,/997/8/343/1065/771/1132/867/,Right Pons,231.96531,58.4468,281.0,46271.0,0.3
595,Rfr,Right fasciculus retroflexus,1083.0,/997/1009/991/824/1083/595/,Right fiber tracts,218.9423,128.97229,281.0,7975.0,0.052
356,RPST,Right Preparasubthalamic nucleus,290.0,/997/8/343/1129/1097/290/356/,Right Hypothalamus,216.5338,120.05799,281.0,601.0,0.004
690,Rmtt,Right mammilothalmic tract,46.0,/997/1009/991/824/46/690/,Right fiber tracts,213.03379,117.80261,281.0,6550.0,0.042
364,RPSTN,Right Parasubthalamic nucleus,290.0,/997/8/343/1129/1097/290/364/,Right Hypothalamus,210.83309,145.09009,281.0,2334.0,0.015
874,RPBG,Right Parabigeminal nucleus,339.0,/997/8/343/313/339/874/,Right Midbrain,210.14943,58.13379,281.0,5415.0,0.035
628,RNOT,Right Nucleus of the optic tract,1100.0,/997/8/343/313/323/1100/628/,Right Midbrain,209.00722000000002,115.88169,281.0,3679.0,0.024
51,RILM,Right Intralaminar nuclei of the dorsal thalamus,856.0,/997/8/343/1129/549/856/51/,Right Thalamus,208.1748088245294,95.13309,281.0,55884.0,0.36100000000000004
534,RSUT,Right Supratrigeminal nucleus,987.0,/997/8/343/1065/771/987/534/,Right Pons,206.80346,114.56534,281.0,7828.0,0.051
609,RSPA,Right Subparafascicular area,864.0,/997/8/343/1129/549/864/609/,Right Thalamus,206.03423,96.55235,281.0,3334.0,0.022
781,Ry,Right Nucleus y,370.0,/997/8/343/1065/354/370/781/,Right Medulla,205.30954,87.29502,281.0,1067.0,0.007
749,RVTA,Right Ventral tegmental area,323.0,/997/8/343/313/323/749/,Right Midbrain,204.85056,57.18191,281.0,31829.0,0.206
444,RMED,Right Medial group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/444/,Right Thalamus,203.8981018434568,51.10183,281.0,84309.0,0.546
580,RNB,Right Nucleus of the brachium of the inferior colliculus,339.0,/997/8/343/313/339/580/,Right Midbrain,203.14202,121.92747,281.0,9578.0,0.062
898,RPCG,Right Pontine central gray,987.0,/997/8/343/1065/771/987/898/,Right Pons,201.7546,25.19074,281.0,39061.0,0.253
372,RICB,Right Infracerebellar nucleus,370.0,/997/8/343/1065/354/370/372/,Right Medulla,201.46552,101.00736,281.0,473.0,0.003
318,RSG,Right Supragenual nucleus,987.0,/997/8/343/1065/771/987/318/,Right Pons,201.28631,108.97836,281.0,1161.0,0.008
271,RSAG,Right Nucleus sagulum,339.0,/997/8/343/313/339/271/,Right Midbrain,201.00668,140.9395,280.4126,5487.0,0.036
50,RPRC,Right Precommissural nucleus,795.0,/997/8/343/313/323/795/50/,Right Midbrain,200.26927,101.0288,281.0,4181.0,0.027
