LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Mean,Min,Max,Count,Volume(mm^3)
215,RAPN,Right Anterior pretectal nucleus,1100.0,/997/8/343/313/323/1100/215/,Right Midbrain,27.3187,5.8802,39.0,106827.0,0.692
1014,RGENv,Right Geniculate group ventral thalamus,856.0,/997/8/343/1129/549/856/1014/,Right Thalamus,27.006858358228403,9.51211,39.0,61391.0,0.398
1092,Rem,Right external medullary lamina of the thalamus,896.0,/997/1009/983/896/1092/,Right fiber tracts,26.99873,11.05997,39.0,6483.0,0.042
1008,RGENd,Right Geniculate group dorsal thalamus,864.0,/997/8/343/1129/549/864/1008/,Right Thalamus,26.54392660722918,8.43973,39.0,126183.0,0.8180000000000001
580,RNB,Right Nucleus of the brachium of the inferior colliculus,339.0,/997/8/343/313/339/580/,Right Midbrain,26.29526,12.83575,39.0,14466.0,0.094
138,RLAT,Right Lateral group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/138/,Right Thalamus,26.289304878093432,5.27974,39.0,213032.0,1.3809999999999998
14,Rim,Right internal medullary lamina of the thalamus,896.0,/997/1009/983/896/14/,Right fiber tracts,26.04787,18.01611,36.36013,36.0,0.0
262,RRT,Right Reticular nucleus of the thalamus,856.0,/997/8/343/1129/549/856/262/,Right Thalamus,25.90251,8.04399,39.0,131806.0,0.854
271,RSAG,Right Nucleus sagulum,339.0,/997/8/343/313/339/271/,Right Midbrain,25.77576,12.87979,39.0,10142.0,0.066
616,RCUN,Right Cuneiform nucleus,323.0,/997/8/343/313/323/616/,Right Midbrain,25.64807,5.8802,39.0,35230.0,0.228
637,RVENT,Right Ventral group of the dorsal thalamus,864.0,/997/8/343/1129/549/864/637/,Right Thalamus,25.51974114935603,6.73596,39.0,345202.0,2.237
1022,RGPe,Right Globus pallidus external segment,818.0,/997/8/567/623/803/818/1022/,Right Cerebral nuclei,25.47037,8.432,39.0,149539.0,0.969
867,RPB,Right Parabrachial nucleus,1132.0,/997/8/343/1065/771/1132/867/,Right Pons,25.20784,2.99991,39.0,96762.0,0.627
406,RSPF,Right Subparafascicular nucleus,864.0,/997/8/343/1129/549/864/406/,Right Thalamus,24.902404868934745,4.23177,39.0,32274.0,0.209
1052,RPPN,Right Pedunculopontine nucleus,348.0,/997/8/343/313/348/1052/,Right Midbrain,24.6646,4.00027,39.0,46825.0,0.303
1044,RPP,Right Peripeduncular nucleus,864.0,/997/8/343/1129/549/864/1044/,Right Thalamus,24.45639,10.63209,39.0,5222.0,0.034
128,RMRN,Right Midbrain reticular nucleus,323.0,/997/8/343/313/323/128/,Right Midbrain,24.45589,0.99977,39.0,458764.0,2.973
239,RATN,Right Anterior group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/239/,Right Thalamus,24.16281547932745,5.00005,39.0,174797.0,1.133
6,Rint,Right internal capsule,784.0,/997/1009/983/784/6/,Right fiber tracts,24.05013,2.05608,39.0,237223.0,1.537
301,Rst,Right stria terminalis,768.0,/997/1009/991/768/301/,Right fiber tracts,23.89751,2.99991,39.0,65933.0,0.427
326,Rscp,Right superior cerebelar peduncles,752.0,/997/1009/960/752/326/,Right fiber tracts,23.78672,2.99991,39.0,44153.0,0.286
672,RCP,Right Caudoputamen,485.0,/997/8/567/623/477/485/672/,Right Cerebral nuclei,23.57364,2.99991,39.0,2279826.0,14.773
549,RTH,Right Thalamus,1129.0,/997/8/343/1129/549/,Right Thalamus,23.5091,2.00014,39.0,392371.0,2.543
634,RNPC,Right Nucleus of the posterior commissure,1100.0,/997/8/343/313/323/1100/634/,Right Midbrain,23.49494,0.99977,39.0,19123.0,0.124
51,RILM,Right Intralaminar nuclei of the dorsal thalamus,856.0,/997/8/343/1129/549/856/51/,Right Thalamus,22.976561898336175,2.2721,39.0,99229.0,0.643
797,RZI,Right Zona incerta,290.0,/997/8/343/1129/1097/290/797/,Right Hypothalamus,22.913114112235366,6.1599,39.0,127393.0,0.8250000000000001
603,Rfi,Right fimbria,1099.0,/997/1009/991/768/1099/603/,Right fiber tracts,22.75945,4.65191,39.0,130526.0,0.846
705,RmtV,Right midbrain tract of the trigeminal nerve,229.0,/997/1009/967/901/229/705/,Right fiber tracts,22.52902,11.0439,39.0,980.0,0.006
583,RCLA,Right Claustrum,703.0,/997/8/567/688/703/583/,Right Cerebral cortex,22.20818,7.02399,39.0,45728.0,0.296
534,RSUT,Right Supratrigeminal nucleus,987.0,/997/8/343/1065/771/987/534/,Right Pons,22.074830000000002,5.01611,39.0,15570.0,0.101
